,Organization Name,IPO Status,Number of Founders,Company Type,CB Rank (Company),Operating Status,Industry Groups,Number of Employees,Estimated Revenue Range,Number of Exits,Number of Sub-Orgs,city,state,funding_status,revenue_range,no_employees,lat,lon,no_founders,industry,industry_groups,industry_groups_andreas,website,phone,email,linkedin,twitter,facebook,articles,founded_year,last_funding_year,exit_year,closed_year,no_investors,no_fund_rounds,acquired,private_ipo,company_type,operting_status,no_lead_investors,no_sub_orgs,no_exits,has_preseed,has_seed,has_series_a,has_series_b,has_series_c,has_series_d,has_series_e,has_angel,has_debt_financing,has_grant,has_corporate_round,has_series_x,has_ico,has_other_funding,preseed_fund,seed_fund,series_a_fund,series_b_fund,series_c_fund,series_d_fund,series_e_fund,private_equity_fund,seed_to_pre_ratio,a_to_seed_ratio,b_to_a_ratio,c_to_b_ratio,d_to_c_ratio,e_to_d_ratio,pe_to_e_ratio,total_funding_usd,last_funding_type,last_funding_amount,hub_tags,industry_multiples,company_valuation,months_since_founded,y
1700,simplesurance,Private,5.0,For Profit,"81,837",Active,"Commerce and Shopping, Financial Services, Internet Services",101-250,,,2.0,Berlin, Berlin,M&A,$1M to $10M,101-250,52.52,13.405,5.0,"['Commerce and Shopping', ' Financial Services', ' Internet Services']",Retail and E-commerce,-1,1,1,1,1,1,1,6.0,2012,2020.0,2022.0,,19.0,10.0,1,1,1,1,6.0,2.0,0.0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,,,2500000.0,8000000.0,24000000.0,,,,0.0,0.0,3.2,3.0,0.0,0.0,0.0,78064754.0,Debt Financing,18164754.0,,1.5,117097131.0,145,1
1701,channel pilot solutions,Private,3.0,For Profit,"81,928",Active,"Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Software",51-100,Less than $1M,,,Hamburg, Hamburg,M&A,Less than $1M,51-100,53.5511,9.9937,3.0,"['Commerce and Shopping', ' Data and Analytics', ' Hardware', ' Internet Services', ' Software']",Retail and E-commerce,-1,1,1,1,1,0,1,3.0,2012,2014.0,2023.0,,0.0,1.0,1,1,1,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,3300000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224016.0,Series A,4224016.0,,1.5,6336024.0,143,1
1702,adivo,Private,1.0,For Profit,"82,398",Active,"Biotechnology, Health Care, Science and Engineering",11-50,$1M to $10M,,,Martinsried, Bayern,M&A,$1M to $10M,11-50,48.1089,11.4598,1.0,"['Biotechnology', ' Health Care', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,1,1,1,1,0,0,2012,2021.0,2023.0,,4.0,3.0,1,1,1,1,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815559.0,Grant,2815558.0,,3.0,8446677.0,149,1
1705,the creative club,Private,1.0,For Profit,"97,740",Active,"Commerce and Shopping, Consumer Goods",251-500,,,,Schenefeld, Schleswig-Holstein,Private Equity,$1M to $10M,251-500,53.6,9.8333,1.0,"['Commerce and Shopping', ' Consumer Goods']",Retail and E-commerce,-1,1,1,1,1,0,0,4.0,2012,2015.0,,,2.0,2.0,0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13639123.0,Private Equity,8452542.0,,1.5,20458684.5,149,1
1706,appvisory,Private,3.0,For Profit,"97,796",Active,"Information Technology, Mobile, Privacy and Security, Software",11-50,$1M to $10M,,,Hanover, Niedersachsen,Late Stage Venture,$1M to $10M,11-50,52.3705,9.7332,3.0,"['Information Technology', ' Mobile', ' Privacy and Security', ' Software']",Technology and Software,-1,1,0,1,1,1,1,0,2012,2018.0,,,2.0,4.0,0,1,1,1,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,1000000.0,1000000.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3143640.0,Series C,,,4.0,12574560.0,143,0
1708,1aim,Private,2.0,For Profit,"104,874",Closed,"Information Technology, Software",11-50,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,2.0,"['Information Technology', ' Software']",Technology and Software,-1,1,1,1,1,0,0,6.0,2012,2018.0,2019.0,,4.0,3.0,1,1,1,0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,2400000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800000.0,Convertible Note,3400000.0,,4.0,23200000.0,149,1
1710,stryking entertainment,Private,4.0,For Profit,"109,762",Active,"Blockchain and Cryptocurrency, Gaming, Other, Sports",11-50,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,4.0,"['Blockchain and Cryptocurrency', ' Gaming', ' Other', ' Sports']",Technology and Software,-1,1,1,1,1,1,1,9.0,2012,2017.0,2019.0,,2.0,3.0,1,1,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234308.0,Venture - Series Unknown,597250.0,,4.0,8937232.0,149,1
1712,coredinate,Private,2.0,For Profit,"113,503",Active,"Information Technology, Privacy and Security, Software",11-50,,,,Uffenheim, Bayern,M&A,$1M to $10M,11-50,49.5333,10.25,2.0,"['Information Technology', ' Privacy and Security', ' Software']",Technology and Software,-1,1,1,1,1,1,1,0,2012,2017.0,,,3.0,2.0,0,1,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256144.0,Venture - Series Unknown,2256143.0,,4.0,9024576.0,137,1
1713,trecker.com,Private,2.0,For Profit,"116,720",Active,"Agriculture and Farming, Internet Services, Software",11-50,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,2.0,"['Agriculture and Farming', ' Internet Services', ' Software']",Manufacturing and Industry,-1,1,1,1,1,1,1,0,2012,2014.0,2018.0,,1.0,1.0,1,1,1,1,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,2100000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2619983.0,Series A,2619982.0,,2.0,5239966.0,141,1
1714,in mind cloud,Private,1.0,For Profit,"117,954",Active,"Information Technology, Manufacturing, Sales and Marketing, Software",51-100,Less than $1M,,,Munich, Bayern,M&A,Less than $1M,51-100,48.1374,11.5755,1.0,"['Information Technology', ' Manufacturing', ' Sales and Marketing', ' Software']",Technology and Software,-1,1,1,1,1,1,1,9.0,2012,2019.0,2023.0,,1.0,2.0,1,1,1,1,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,4000000.0,,16000000.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22324526.0,Series B,17621824.0,,4.0,89298104.0,149,1
1720,webdata solutions,Private,3.0,For Profit,"130,171",Active,"Commerce and Shopping, Data and Analytics, Hardware, Software",11-50,$10M to $50M,,,Leipzig, Sachsen,M&A,$10M to $50M,11-50,51.33962,12.37129,3.0,"['Commerce and Shopping', ' Data and Analytics', ' Hardware', ' Software']",Retail and E-commerce,-1,1,1,1,1,1,1,3.0,2012,2017.0,2021.0,,5.0,3.0,1,1,1,1,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,4000000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4535178.0,Venture - Series Unknown,,,1.5,6802767.0,149,1
1727,lernstift,Private,3.0,For Profit,"153,742",Closed,"Consumer Electronics, Education, Hardware, Software",11-50,,,,München, Bayern,Seed,$1M to $10M,11-50,48.1374,11.5755,3.0,"['Consumer Electronics', ' Education', ' Hardware', ' Software']",Hardware and Electronics,-1,1,1,1,1,1,1,12.0,2012,2014.0,,2015.0,2.0,5.0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,110000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244693.0,Product Crowdfunding,659661.0,,1.5,1867039.5,139,0
1728,brand a trend gmbh,Private,1.0,For Profit,"163,813",Active,"Artificial Intelligence (AI), Data and Analytics, Design, Education, Science and Engineering, Software",11-50,$1M to $10M,,,Heidelberg, Baden-Wurttemberg,Early Stage Venture,$1M to $10M,11-50,49.3988,8.6724,1.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Design', ' Education', ' Science and Engineering', ' Software']",Technology and Software,-1,1,1,1,1,1,0,4.0,2012,2014.0,,,0.0,3.0,0,1,1,1,0.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,800000.0,4500000.0,,,,,,0.0,5.625,0.0,0.0,0.0,0.0,0.0,6100460.0,Series A,4500000.0,,4.0,24401840.0,138,1
1729,bvb innovate,Private,,For Profit,"180,015",Closed,"Financial Services, Information Technology",11-50,,,,Stuttgart, Baden-Wurttemberg,M&A,$1M to $10M,11-50,48.7775,9.18,1.0,"['Financial Services', ' Information Technology']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,1,1,1,0,0,0,2012,2015.0,,2017.0,1.0,1.0,0,1,1,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379279.0,Grant,2379278.0,,3.5,8327476.5,149,1
1730,panono,Private,3.0,For Profit,"181,646",Closed,"Consumer Electronics, Content and Publishing, Hardware, Media and Entertainment",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,3.0,"['Consumer Electronics', ' Content and Publishing', ' Hardware', ' Media and Entertainment']",Hardware and Electronics,-1,1,1,1,1,1,1,11.0,2012,2015.0,,2017.0,5.0,8.0,0,1,1,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3473295.0,Venture - Series Unknown,,,1.5,5209942.5,149,0
1731,goodscloud,Private,1.0,For Profit,"182,245",Active,"Information Technology, Internet Services, Software",11-50,,,,Berlin, Berlin,IPO,$1M to $10M,11-50,52.52,13.405,1.0,"['Information Technology', ' Internet Services', ' Software']",Technology and Software,-1,1,1,1,1,1,1,0,2012,2015.0,,,0.0,1.0,0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784595.0,Venture - Series Unknown,8784595.0,,4.0,35138380.0,149,1
1734,paymill,Private,1.0,For Profit,"227,102",Active,"Commerce and Shopping, Financial Services, Other, Payments",11-50,$1M to $10M,,,Munich, Bayern,M&A,$1M to $10M,11-50,48.1374,11.5755,1.0,"['Commerce and Shopping', ' Financial Services', ' Other', ' Payments']",Retail and E-commerce,-1,1,1,1,1,1,1,24.0,2012,2013.0,2016.0,,5.0,2.0,1,1,1,1,3.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,5000000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,Series A,5000000.0,,1.5,27000000.0,144,1
1737,babtec,Private,1.0,For Profit,"315,647",Active,"Consumer Electronics, Hardware, Information Technology, Software",101-250,,,,Wuppertal, Nordrhein-Westfalen,Early Stage Venture,Less than $1M,101-250,51.2562,7.1508,1.0,"['Consumer Electronics', ' Hardware', ' Information Technology', ' Software']",Hardware and Electronics,-1,1,1,0,1,1,1,0,2012,2014.0,,,0.0,2.0,0,1,1,1,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,200000.0,100000.0,,,,,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,300000.0,Series A,100000.0,,1.5,450000.0,149,0
1738,salonmeister,Private,3.0,For Profit,"338,479",Closed,"Commerce and Shopping, Consumer Goods, Data and Analytics, Internet Services, Navigation and Mapping, Software",51-100,$10M to $50M,,,Berlin, Berlin,M&A,$10M to $50M,51-100,52.52,13.405,3.0,"['Commerce and Shopping', ' Consumer Goods', ' Data and Analytics', ' Internet Services', ' Navigation and Mapping', ' Software']",Retail and E-commerce,-1,1,1,1,0,0,0,16.0,2012,2013.0,2014.0,2014.0,5.0,2.0,1,1,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,300000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409514.0,Seed,,,1.5,614271.0,141,1
1739,stuffle,Private,3.0,For Profit,"403,569",Closed,"Apps, Commerce and Shopping, Sales and Marketing, Software",11-50,$1M to $10M,,,Hamburg, Hamburg,Early Stage Venture,$1M to $10M,11-50,53.5511,9.9937,3.0,"['Apps', ' Commerce and Shopping', ' Sales and Marketing', ' Software']",Technology and Software,-1,1,1,1,1,1,1,10.0,2012,2013.0,,,9.0,5.0,0,1,1,0,2.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,500000.0,1000000.0,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2272844.0,Non-equity Assistance,,,4.0,9091376.0,149,0
1740,metrigo,Private,2.0,For Profit,"440,050",Closed,"Advertising, Data and Analytics, Professional Services, Sales and Marketing",11-50,,,,Hamburg, Hamburg,M&A,$1M to $10M,11-50,53.5511,9.9937,2.0,"['Advertising', ' Data and Analytics', ' Professional Services', ' Sales and Marketing']",Business Services,-1,1,1,1,0,0,1,0,2012,2012.0,2015.0,2015.0,3.0,1.0,1,1,1,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,700000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,Series A,700000.0,,3.5,2450000.0,149,1
1741,axel springer digital classifieds,Private,1.0,For Profit,"472,752",Active,"Advertising, Internet Services, Sales and Marketing",10001+,$1B to $10B,,,Berlin, Berlin,M&A,$1B to $10B,10001+,52.52,13.405,1.0,"['Advertising', ' Internet Services', ' Sales and Marketing']",Business Services,-1,1,1,0,1,0,0,0,2012,2012.0,2015.0,,1.0,1.0,1,1,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,312000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312000000.0,Private Equity,312000000.0,,3.5,1092000000.0,149,1
1742,foodist,Private,3.0,For Profit,"482,703",Active,"Commerce and Shopping, Other, Travel and Tourism",11-50,$1M to $10M,,,Hamburg, Hamburg,M&A,$1M to $10M,11-50,53.5511,9.9937,3.0,"['Commerce and Shopping', ' Other', ' Travel and Tourism']",Retail and E-commerce,-1,1,1,1,1,1,1,4.0,2012,2016.0,2023.0,,4.0,2.0,1,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225179.0,Series A,,,1.5,337768.5,139,1
1743,couchcommerce,Private,4.0,For Profit,"536,930",Closed,"Apps, Commerce and Shopping, Mobile, Software",11-50,$1M to $10M,,,Hanover, Niedersachsen,M&A,$1M to $10M,11-50,52.3705,9.7332,4.0,"['Apps', ' Commerce and Shopping', ' Mobile', ' Software']",Technology and Software,-1,1,1,1,0,1,1,5.0,2012,2013.0,2015.0,,5.0,4.0,1,1,1,0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150000.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777089.0,Seed,,,4.0,7108356.0,147,1
1745,dreamflat,Private,4.0,For Profit,"700,903",Active,"Apps, Commerce and Shopping, Internet Services, Mobile, Real Estate, Software",11-50,Less than $1M,,,Berlin, Berlin,M&A,Less than $1M,11-50,52.52,13.405,4.0,"['Apps', ' Commerce and Shopping', ' Internet Services', ' Mobile', ' Real Estate', ' Software']",Technology and Software,-1,1,0,0,1,0,0,0,2012,2013.0,2014.0,,0.0,2.0,1,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,275000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431254.0,Seed,366310.0,,4.0,1725016.0,149,1
1746,wywy,Private,3.0,For Profit,"724,599",Closed,"Advertising, Media and Entertainment, Sales and Marketing, Video",11-50,$1M to $10M,,,Munich, Bayern,M&A,$1M to $10M,11-50,48.1374,11.5755,3.0,"['Advertising', ' Media and Entertainment', ' Sales and Marketing', ' Video']",Business Services,-1,1,1,1,1,1,1,13.0,2012,2013.0,2017.0,2017.0,1.0,2.0,1,1,1,0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,2500000.0,7000000.0,,,,,0.0,0.0,2.8,0.0,0.0,0.0,0.0,10059156.0,Series B,7000000.0,,3.5,35207046.0,149,1
1748,admoment,Private,3.0,For Profit,"920,246",Closed,"Advertising, Mobile, Other, Sales and Marketing",11-50,,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,11-50,52.52,13.405,3.0,"['Advertising', ' Mobile', ' Other', ' Sales and Marketing']",Business Services,-1,1,1,1,1,0,0,1.0,2012,2013.0,,,4.0,3.0,0,1,1,0,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,550000.0,3000000.0,,,,,,0.0,5.454545454545454,0.0,0.0,0.0,0.0,0.0,3850000.0,Series A,3000000.0,,3.5,13475000.0,142,1
1749,doxter,Private,,For Profit,"1,087,140",Active,"Health Care, Information Technology, Internet Services, Software",11-50,$1M to $10M,,,Deutsch, Sachsen,M&A,$1M to $10M,11-50,52.966221,11.583962,1.0,"['Health Care', ' Information Technology', ' Internet Services', ' Software']",Healthcare and Biotechnology,-1,1,1,1,0,0,1,0,2012,2013.0,2016.0,,3.0,3.0,1,1,1,1,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125774.0,Venture - Series Unknown,,,3.0,377322.0,144,1
1750,wummelkiste,Private,1.0,For Profit,"1,190,282",Closed,Consumer Goods,11-50,,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,1.0,['Consumer Goods'],Consumer Products,-1,1,1,1,0,1,1,1.0,2012,2013.0,2016.0,,6.0,3.0,1,1,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,Venture - Series Unknown,,,1.5,1500000.0,149,1
1754,5 cups and some sugar,Private,5.0,For Profit,"1,580,145",Active,"Food and Beverage, Manufacturing",11-50,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,5.0,"['Food and Beverage', ' Manufacturing']",Consumer Products,-1,1,1,1,1,1,1,0,2012,2013.0,,,0.0,1.0,0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396038.0,Equity Crowdfunding,396037.0,,1.5,594057.0,149,1
1755,stylemarks,Private,,For Profit,"1,731,254",Active,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Mobile",11-50,,,,Berlin, Berlin,M&A,Less than $1M,11-50,52.52,13.405,1.0,"['Clothing and Apparel', ' Commerce and Shopping', ' Community and Lifestyle', ' Design', ' Mobile']",Consumer Products,-1,1,1,1,1,1,0,1.0,2012,2013.0,2014.0,,3.0,2.0,1,1,1,1,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388211.0,Seed,,,1.5,582316.5,141,1
1760,sonnen,Private,1.0,For Profit,"4,249",Active,"Energy, Natural Resources, Sustainability",501-1000,$100M to $500M,,,Wildpoldsried, Bayern,M&A,$100M to $500M,501-1000,47.7333,10.4,1.0,"['Energy', ' Natural Resources', ' Sustainability']",Energy and Natural Resources,-1,1,1,1,1,1,1,39.0,2010,2018.0,2019.0,,10.0,7.0,1,1,1,1,4.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,,3000000.0,7500000.0,,85000000.0,71000000.0,,0.0,0.0,2.5,0.0,0.0,0.8352941176470589,0.0,169216757.0,Series E,71000000.0,,1.5,253825135.5,173,1
1761,electrochaea,Private,1.0,For Profit,"7,414",Active,"Energy, Sustainability",11-50,Less than $1M,,,Planegg, Bayern,Late Stage Venture,Less than $1M,11-50,48.1056,11.4208,1.0,"['Energy', ' Sustainability']",Energy and Natural Resources,-1,1,1,1,1,1,0,11.0,2010,2022.0,,,11.0,8.0,0,1,1,1,2.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,,250000.0,,,,36000000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64650933.0,Series D,40903559.0,,1.5,96976399.5,173,1
1762,ask chemicals,Private,,For Profit,"15,343",Active,"Manufacturing, Science and Engineering",1001-5000,$500M to $1B,,,Hilden, Nordrhein-Westfalen,M&A,$500M to $1B,1001-5000,51.167858,6.935225,1.0,"['Manufacturing', ' Science and Engineering']",Manufacturing and Industry,-1,1,1,1,1,0,1,9.0,2010,2022.0,2014.0,,1.0,2.0,1,1,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280842315.0,Debt Financing,280842314.0,,1.5,421263472.5,173,1
1764,50hertz,Private,,For Profit,"31,251",Active,Energy,1001-5000,$10B+,,,Berlin, Berlin,Private Equity,$10B+,1001-5000,52.52,13.405,1.0,['Energy'],Energy and Natural Resources,-1,1,1,1,1,1,1,12.0,2010,2018.0,,,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000000.0,Private Equity,1200000000.0,,1.5,1800000000.0,173,1
1767,ithera medical,Private,1.0,For Profit,"36,852",Active,"Biotechnology, Health Care, Science and Engineering",11-50,$1M to $10M,,,München, Bayern,Late Stage Venture,$1M to $10M,11-50,48.1374,11.5755,1.0,"['Biotechnology', ' Health Care', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,1,1,1,1,0,7.0,2010,2022.0,,,12.0,8.0,0,1,1,1,8.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,,,,,7100000.0,13000000.0,,,0.0,0.0,0.0,0.0,1.8309859154929575,0.0,0.0,42346917.0,Series D,13790469.0,,3.0,127040751.0,173,1
1769,finanzcheck.de,Private,1.0,For Profit,"43,832",Active,Financial Services,251-500,$50M to $100M,,,Hamburg, Hamburg,M&A,$50M to $100M,251-500,53.5511,9.9937,1.0,['Financial Services'],Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,1,1,1,1,1,4.0,2010,2016.0,2021.0,,6.0,4.0,1,1,1,1,3.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,13000000.0,33000000.0,,,,0.0,0.0,0.0,2.5384615384615383,0.0,0.0,0.0,53267668.0,Series C,37607866.0,,3.5,186436838.0,173,1
1770,gna biosolutions,Private,3.0,For Profit,"45,257",Active,"Biotechnology, Health Care, Science and Engineering",11-50,$1M to $10M,,,Munich, Bayern,Late Stage Venture,$1M to $10M,11-50,48.1374,11.5755,3.0,"['Biotechnology', ' Health Care', ' Science and Engineering']",Healthcare and Biotechnology,-1,1,1,0,1,1,0,4.0,2010,2019.0,,,9.0,3.0,0,1,1,1,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,6000000.0,13500000.0,,,,0.0,0.0,0.0,2.25,0.0,0.0,0.0,20006110.0,Series C,13500000.0,,3.0,60018330.0,167,1
1774,urbanara,Private,3.0,For Profit,"58,953",Active,"Commerce and Shopping, Consumer Goods, Other, Real Estate",11-50,$10M to $50M,,,Berlin, Berlin,M&A,$10M to $50M,11-50,52.52,13.405,3.0,"['Commerce and Shopping', ' Consumer Goods', ' Other', ' Real Estate']",Retail and E-commerce,-1,1,1,1,1,1,1,9.0,2010,2017.0,2020.0,,8.0,6.0,1,1,1,1,4.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,3500000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17950785.0,Venture - Series Unknown,,,1.5,26926177.5,164,1
1775,tausendkind,Private,1.0,For Profit,"60,437",Active,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",51-100,$10M to $50M,,,Berlin, Berlin,M&A,$10M to $50M,51-100,52.52,13.405,1.0,"['Clothing and Apparel', ' Commerce and Shopping', ' Community and Lifestyle', ' Design']",Consumer Products,-1,1,1,1,1,0,1,0,2010,2018.0,2020.0,,13.0,6.0,1,1,1,1,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18372491.0,Venture - Series Unknown,18372491.0,,1.5,27558736.5,173,1
1777,fos4x,Private,2.0,For Profit,"65,946",Closed,"Energy, Hardware, Manufacturing, Natural Resources, Sustainability",101-250,$1M to $10M,,,Munich, Bayern,M&A,$1M to $10M,101-250,48.1374,11.5755,2.0,"['Energy', ' Hardware', ' Manufacturing', ' Natural Resources', ' Sustainability']",Energy and Natural Resources,-1,1,1,1,1,0,1,0,2010,2018.0,2020.0,,6.0,5.0,1,1,1,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,,,8200000.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13027268.0,Series B,9528568.0,,1.5,19540902.0,173,1
1778,windeln.de,Public,3.0,For Profit,"66,742",Active,"Commerce and Shopping, Health Care",101-250,$50M to $100M,,,München, Bayern,IPO,$50M to $100M,101-250,48.1374,11.5755,3.0,"['Commerce and Shopping', ' Health Care']",Retail and E-commerce,-1,1,1,1,1,0,1,6.0,2010,2015.0,2015.0,,10.0,6.0,0,0,1,1,3.0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,10000000.0,5000000.0,19600000.0,45000000.0,,,0.0,0.0,0.5,3.92,2.295918367346939,0.0,0.0,112716043.0,Series D,52226775.0,,1.5,169074064.5,173,1
1780,secop gmbh,Private,,For Profit,"68,179",Active,"Energy, Manufacturing",1001-5000,$100M to $500M,,,Flensburg, Schleswig-Holstein,M&A,$100M to $500M,1001-5000,54.7819,9.4366,1.0,"['Energy', ' Manufacturing']",Energy and Natural Resources,-1,1,1,0,1,0,1,1.0,2010,2023.0,2017.0,,0.0,1.0,1,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54217527.0,Debt Financing,54217527.0,,1.5,81326290.5,173,1
1784,implandata ophthalmic products,Private,2.0,For Profit,"94,071",Active,Health Care,11-50,$1M to $10M,,,Hanover, Niedersachsen,Late Stage Venture,$1M to $10M,11-50,52.3705,9.7332,2.0,['Health Care'],Healthcare and Biotechnology,-1,1,1,1,1,1,1,7.0,2010,2018.0,,,10.0,5.0,0,1,1,1,2.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,700000.0,1600000.0,3000000.0,,,,,0.0,2.2857142857142856,1.875,0.0,0.0,0.0,0.0,8507674.0,Series C,,,3.0,25523022.0,173,1
